traveler,partNo,pot,forecastPieces,receivedPieces,receivedBoxQty,receivedWeight,receiveDate,receivedBy,note,createdAt
710288,06511799AA,42 CTNS,71400,71400,,,2026-06-29,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710308,11546448,499,107222,107222,,,2026-06-15,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710329,11612078-B,20CTNS,37000,37000,,,2026-05-29,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710399,11549168-CA-IN,597,42000,42000,,,2026-07-27,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710400,11549168-CA-IN,240,45000,45000,,,2026-07-08,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710402,11549168-CA-IN,797,45000,45000,,,2026-07-27,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710492,11546367-CA-IN,364,26320,26320,,,2026-07-01,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710494,11546367-CA-IN,1019,26494,26494,,,2026-06-25,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710495,11546367-CA-IN,1533,25238,25238,,,2026-07-01,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710532,40173371,865,66000,66000,,,2026-07-08,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710533,40173371,422,73000,73000,,,2026-07-08,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710572,W520111-S450B,705,114458,114458,,,2026-06-24,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710574,W520101-S442,292,125795,125795,,,2026-06-26,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710576,W520101-S442,414,116705,116705,,,2026-06-26,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710683,11549168-CA-IN,1335,45000,45000,,,2026-07-08,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710686,11549168-CA-IN,158,45000,45000,,,2026-07-17,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710687,11549168-CA-IN,382,45000,45000,,,2026-07-27,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710688,11549168-CA-IN,516,46000,46000,,,2026-07-27,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710690,11549168-CA-IN,615,44000,44000,,,2026-08-04,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710691,11549168-CA-IN,883,40000,40000,,,2026-07-27,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710823,11549168-CA-IN,370,43918,43918,,,2026-07-17,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710824,11549168-CA-IN,1061,40000,40000,,,2026-08-18,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710825,11549168-CA-IN,567,45000,45000,,,2026-07-08,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710826,11549168-CA-IN,1380,45000,45000,,,2026-07-10,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710828,11549168-CA-IN,323,44000,44000,,,2026-08-18,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710829,11549168-CA-IN,666,45000,45000,,,2026-08-04,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710830,11549168-CA-IN,1028,45000,45000,,,2026-08-04,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710831,11549168-CA-IN,822,44000,44000,,,2026-08-19,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710832,11549168-CA-IN,1564,42000,42000,,,2026-08-19,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710861,W711468-S437,706,54624,54624,,,2026-07-21,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710862,W711468-S437,339,4769,4769,,,2026-07-14,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710863,W711468-S437,1436,52428,52428,,,2026-07-14,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710864,W711468-S437,1562,54104,54104,,,2026-07-14,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
710966,11546364-PH-RO,1081,168675,168675,,,2026-08-06,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711035,W520101-S437,18,132841,132841,,,2026-06-24,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711038,11547059,894,25033,25033,,,2026-06-25,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711040,11547059,92,21956,21956,,,2026-06-25,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711043,11547059,914,23055,23055,,,2026-06-25,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711110,40050697,183,5058,5058,,,2026-07-27,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711115,W520113-S440,1385,43022,43022,,,2026-07-08,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711116,W520113-S440,309,42201,42201,,,2026-07-08,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711118,11516133,716,15490,15490,,,2026-07-02,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711125,11546366-MY-AK,554,40614,40614,,,2026-06-29,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711126,11546366-MY-AK,1531,41083,41083,,,2026-06-29,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711127,11546366-MY-AK,1005,39783,39783,,,2026-06-29,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711128,11546366-MY-AK,1614,40181,40181,,,2026-06-29,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711129,11546367-MY-AK,686,27376,27376,,,2026-06-25,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711130,11546367-MY-AK,1431,22409,22409,,,2026-06-25,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711131,11546367-MY-AK,157,25312,25312,,,2026-06-25,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711132,11546367-MY-AK,905,24452,24452,,,2026-06-25,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711154,W520217-S440,707,5234,5234,,,2026-07-02,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711225,11546703,34,130617,130617,,,2026-07-06,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711228,40204491,1084,24553,24553,,,2026-06-29,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711229,40204491,65,22085,22085,,,2026-06-29,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711242,E6267AB,456,24268,24268,,,2026-08-06,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711243,E6267AB,1003,24268,24268,,,2026-08-06,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711250,E6267AB,723,23928,23928,,,2026-08-06,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711251,E6267AB,89,25096,25096,,,2026-08-06,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711262,W711953-S900,975,79091,79091,,,2026-06-25,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711385,P7241950-IN-PN,133,2084,2084,,,2026-09-02,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711386,P7241950-IN-PN,1356,2870,2870,,,2026-09-02,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711387,P7241950-IN-PN,791,2494,2494,,,2026-09-03,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711388,P7241950-IN-PN,53,2649,2649,,,2026-09-03,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711512,W711468-S437,920,47919,47919,,,2026-07-21,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711576,W520113-S440,27,43955,43955,,,2026-07-08,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711577,W520113-S440,983,40410,40410,,,2026-07-08,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711580,91054,799,76203,76203,,,2026-07-28,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711591,91054,981,68354,68354,,,2026-07-28,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711619,06101968-A,664,80000,80000,,,2026-06-24,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711646,11546448,1397,88222,88222,,,2026-06-29,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711647,11546448,1651,106111,106111,,,2026-06-29,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711656,11546449,1510,82881,82881,,,2026-06-24,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711657,11546449,1416,90119,90119,,,2026-06-24,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711658,11546449,915,90254,90254,,,2026-06-24,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711659,11546449,459,84407,84407,,,2026-06-24,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711660,11546449,823,89407,89407,,,2026-06-24,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711661,11546449,829,85678,85678,,,2026-06-24,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711663,11546449,1698,82288,82288,,,2026-06-24,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711664,11546449,1573,88136,88136,,,2026-06-24,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711665,11546449,366,84864,84864,,,2026-06-24,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711671,11546449,486,89746,89746,,,2026-06-24,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711702,11739913,1016,43470,43470,,,2026-07-13,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711703,11739913,1572,41530,41530,,,2026-07-13,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711704,11546366-MY-AK,596,43502,43502,,,2026-07-01,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711705,11546366-MY-AK,618,38412,38412,,,2026-07-01,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711706,11546366-MY-AK,220,42491,42491,,,2026-07-01,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711707,11546366-MY-AK,1587,39458,39458,,,2026-07-01,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711708,11546366-MY-AK,1710,42744,42744,,,2026-07-01,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711709,11546366-MY-AK,652,37690,37690,,,2026-07-01,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711740,NU1305-01,294,65000,65000,,,2026-06-25,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711741,NU1305-01,1714,73000,73000,,,2026-06-26,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711759,W711953-S900,663,61818,61818,,,2026-07-02,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711760,W711953-S900,1373,66429,66429,,,2026-07-02,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711761,W711953-S900,446,62727,62727,,,2026-07-02,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711762,W711953-S900,397,67273,67273,,,2026-07-02,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711766,11546703,442,133457,133457,,,2026-07-21,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711767,11610128,1534,29107,29107,,,2026-07-02,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711768,11610128,495,35893,35893,,,2026-07-02,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711769,W716298-S450,1559,122237,122237,,,2026-07-02,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711770,W716298-S450,387,127763,127763,,,2026-07-02,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711771,06511672AA,239,51422,51422,,,2026-08-05,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711772,06511672AA,919,38190,38190,,,2026-08-11,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711774,06511672AA,1358,47974,47974,,,2026-08-12,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711776,11604439,1012,22707,22707,,,2026-07-02,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711777,715150010W,1110,75390,75390,,,2026-07-02,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711778,715150010W,711,77597,77597,,,2026-07-02,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711782,11609411,1303,62323,62323,,,2026-07-02,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711795,11548414-MY-AK,1700,17845,17845,,,2026-06-29,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711796,11548414-MY-AK,173,16155,16155,,,2026-06-29,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711801,11548414-MY-AK,562,16760,16760,,,2026-06-29,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711802,11548414-MY-AK,1089,17380,17380,,,2026-06-29,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711803,11548414-MY-AK,305,17101,17101,,,2026-06-29,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711804,11548414-MY-AK,15,16853,16853,,,2026-06-29,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711805,11548414-MY-AK,540,17721,17721,,,2026-06-29,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711806,11548414-MY-AK,1426,16388,16388,,,2026-06-29,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711811,11548414-MY-AK,591,17178,17178,,,2026-06-29,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711812,11548414-MY-AK,1067,17008,17008,,,2026-06-29,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
711817,06104725AA,979,101132,101132,,,2026-06-25,,Suy từ PIECES của WORK ORDER (AVP_AI không có sổ nhận kho riêng) — dữ liệu chạy thử,
